rd_seed,L,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime
1995,10,250,5000,1000,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.375
1995,10,250,5000,890.735463861044,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.013
1995,10,250,5000,793.409666579749,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.032
1995,10,250,5000,706.718127392749,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.033
1995,10,250,5000,629.498899022189,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.047
1995,10,250,5000,560.716993820546,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.004
1995,10,250,5000,499.450511585514,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.04
1995,10,250,5000,444.878283112759,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.037
1995,10,250,5000,396.268863870148,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.015
1995,10,250,5000,352.970730273065,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.055
1995,10,250,5000,314.40354715915,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.023
1995,10,250,5000,280.050389418363,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.047
1995,10,250,5000,249.450813523032,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.005
1995,10,250,5000,222.194686093952,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.01900000000001
1995,10,250,5000,197.916686785356,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.041
1995,10,250,5000,176.291411809595,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.024
1995,10,250,5000,157.029012472938,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.06200000000001
1995,10,250,5000,139.871310264724,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.015
1995,10,250,5000,124.588336429501,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.011
1995,10,250,5000,110.975249641207,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.048
1995,10,250,5000,98.8495904662558,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.01600000000001
1995,10,250,5000,88.0488358164346,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.04599999999999
1995,10,250,5000,78.4282206133768,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,1.97200000000001
1995,10,250,5000,69.8587974678525,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,1.968
1995,10,250,5000,62.2257083673023,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.006
1995,10,250,5000,55.426645206631,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.041
1995,10,250,5000,49.37047852839,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.00099999999999
1995,10,250,5000,43.9760360930272,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.012
1995,10,250,5000,39.1710149080926,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.02999999999999
1995,10,250,5000,34.8910121340677,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.01700000000001
1995,10,250,5000,31.0786618778201,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.029
1995,10,250,5000,27.6828663039207,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.021
1995,10,250,5000,24.658110758226,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.024
1995,10,250,5000,21.9638537241655,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.00700000000001
1995,10,250,5000,19.5639834351706,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.01500000000001
1995,10,250,5000,17.4263338600965,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.01400000000001
1995,10,250,5000,15.5222535742705,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.042
1995,10,250,5000,13.8262217376466,0.001,0,NA,NA,0.385738645854353,0.213706675397735,12507754.5837998,2.01900000000001
