rd_seed,L,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime
1995,10,250,5000,1,1,0,NA,NA,0.385738645854353,0.212849671972796,12510135.4271299,7.771
1995,10,250,5000,0.70170382867,1,0,NA,NA,0.385738645854353,0.212849671972796,12510135.4271299,7.808
1995,10,250,5000,0.492388263171,1,0,NA,NA,0.385738645854353,0.212849671980407,12510135.4271308,8.753
1995,10,250,5000,0.345510729459,1,0,NA,NA,0.385738645854353,0.212849672042134,12510135.4271558,25.199
1995,10,250,5000,0.242446201708,1,0.00064449246746048,1,0.00128814933347875,0.386479276031491,0.213038717106316,12529805.7437196,75.179
1995,10,250,5000,0.170125427985,1,0.00645400658478547,0.952380952380952,0.0128205687266306,0.424884720642941,0.219382907439735,12707587.2855057,185.356
1995,10,250,5000,0.119377664171,1,0.0160867524810077,0.959615384615385,0.0316397194124109,0.473651314077188,0.232587140465297,12996413.6347188,215.105
1995,10,250,5000,0.0837677640068,1,0.0314415777052914,0.955882352941176,0.0608683762655467,0.511197544850942,0.24953103292303,13473591.9432849,308.375
1995,10,250,5000,0.0587801607227,1,0.0429276175330064,0.94468085106383,0.0821011001462179,0.538271580902157,0.265893928780081,13845388.5891905,1303.327
1995,10,250,5000,0.041246263829,1,0.0575637260383801,0.921134020618557,0.108316891812845,0.557687735071619,0.279681978010084,14365407.9417554,2335.391
1995,10,250,5000,0.020309176209,1,0.0919772133711223,0.826011560693642,0.165426028125533,0.581351846121202,0.29952022130008,15882315.992837,2749.202
1995,10,250,5000,0.014251026703,1,0.114286785469463,0.733884297520661,0.197623424912257,0.588276020118727,0.306144871662188,17269974.9918327,2745.432
1995,10,250,5000,0.0289426612472,1,0.0730830862761198,0.869348659003831,0.134768175559894,0.571545228230092,0.290809813080311,15031442.5357011,2847.818
1995,10,250,5000,0.01,1,0.165787081353411,0.379970544918999,0.230530560273739,0.593163402321512,0.311118774026091,26080520.2834878,2813.111
1995,10,250,5000,0.0070170382867,1,0.261067174208326,0.189939309056956,0.219543531901353,0.596580396440409,0.315015151329666,55583530.1429913,2849.467
1995,10,250,5000,0.00345510729459,1,0.546492842856479,0.121987844118699,0.199258377885256,0.600774426455077,0.321249441136358,153405066.033699,2873.777
1995,10,250,5000,0.00492388263171,1,0.408412900623697,0.142552001789309,0.211073465453747,0.598989411267635,0.318318380962126,102552467.954999,2943.268
1995,10,250,5000,0.00170125427985,1,0.751862341067657,0.107221486319828,0.187543624423195,0.603139214293064,0.325979424606571,233150551.478686,2946.738
1995,10,250,5000,0.00242446201708,1,0.662481284184622,0.11241439286879,0.192055871458398,0.602115025943597,0.323815259414845,197905980.205351,2998.626
1995,10,250,5000,0.000837677640068,1,0.871448635758858,0.102919818456883,0.18398262319719,0.604525135471128,0.329098944555435,279005058.647515,3098.509
1995,10,250,5000,0.00119377664171,1,0.820409886622154,0.104538034606595,0.185323581464599,0.603929747315167,0.327732594802961,259481146.282052,3119.68
1995,10,250,5000,0.00014251026703,1,0.975745363119597,0.100494608764467,0.182120013244461,0.605834283946212,0.332159838786592,318205093.159782,2945.678
1995,10,250,5000,4.92388263171e-05,1,0.99090669954428,0.100392462132269,0.182213649336954,0.6060295278906,0.332615988371075,323287989.971853,2969.9
1995,10,250,5000,4.1246263829e-06,1,0.998681538621166,0.100418477386126,0.182387798522375,0.606125694381373,0.332840830950909,325647916.215384,2882.153
1995,10,250,5000,0.00041246263829,1,0.933141574991933,0.101405755245485,0.182825299492072,0.605298824796569,0.330903933196459,302190080.388078,3085.36
1995,10,250,5000,5.87801607227e-06,1,0.998681538621166,0.100463753180252,0.182462478913706,0.606121925858432,0.33283204035858,325506723.833677,2935.698
1995,10,250,5000,3.45510729459e-05,1,0.993283047522976,0.100359049005337,0.182198871701111,0.60606067669996,0.33268889355859,324135142.355723,3082.367
1995,10,250,5000,1e-04,1,0.98209021104173,0.100422300062199,0.182111569914264,0.605922649884713,0.332366233809315,320423813.823083,3200.149
1995,10,250,5000,0.000289426612472,1,0.954602293285067,0.10115355906901,0.182819217901422,0.605537475739964,0.331464828478058,309602544.976868,3321.803
1995,10,250,5000,0.00020309176209,1,0.96767285216572,0.100874470144521,0.182600134204793,0.605709940595331,0.331869750232198,314513954.737952,3361.109
1995,10,250,5000,7.0170382867e-05,1,0.986987861377456,0.100374422087647,0.182117064474819,0.605985427796988,0.332512624188109,322108029.042895,3319.485
1995,10,250,5000,1.70125427985e-05,1,0.997462377549369,0.100525908240305,0.182544484470881,0.606098079996182,0.332776320744841,324931869.44002,3372.185
1995,10,250,5000,0.000587801607227,1,0.909395255529696,0.101989585203807,0.183299762464454,0.604971129192732,0.330135161664278,293174205.437389,3591.877
1995,10,250,5000,1e-06,1,0.998906245258726,0.100395765629525,0.182354099907211,0.606132412572422,0.332856506024284,325789108.603555,3312.929
1995,10,250,5000,1.19377664171e-05,1,0.997850589971128,0.100493293783853,0.182497231464008,0.606108923094817,0.332801693843536,325153742.984698,3514.435
1995,10,250,5000,8.37677640068e-06,1,0.998422651361552,0.100470345671853,0.182469007795153,0.606116559353787,0.332819520387404,325405872.168588,3509.917
1995,10,250,5000,1.4251026703e-06,1,0.998906245258726,0.100408688656476,0.182375418255446,0.606131498344326,0.332854372742008,325748767.916438,3438.066
1995,10,250,5000,2.0309176209e-06,1,0.998906245258726,0.100415151417629,0.182386079298963,0.606130195592555,0.332851332939552,325728597.574492,3538.402
1995,10,250,5000,2.42446201708e-05,1,0.995430263421875,0.100416612840718,0.182330026874719,0.606082645641032,0.332740220816233,324629314.772881,3774.1
1995,10,250,5000,2.89426612472e-06,1,0.998906245258726,0.100424847119408,0.182402073201605,0.606128339298058,0.332847001654612,325698342.063611,3824.124
