Method,n,Dataset,AUPRC
GGL,200,1,0.24
GGL,200,2,0.28
GGL,200,3,0.31
GGL,1000,1,0.27
GGL,1000,2,0.27
GGL,1000,3,0.3
GGL,2000,1,0.26
GGL,2000,2,0.27
GGL,2000,3,0.3
