T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,100,2500,0.1,0.001,0,NA,NA,-2949220.77046944,0.625,0
1,100,2500,0.0885866790410083,0.001,0,NA,NA,-2949220.77046944,0.46,0
1,100,2500,0.0784759970351461,0.001,0,NA,NA,-2949220.77046944,0.444,0
1,100,2500,0.0695192796177561,0.001,0,NA,NA,-2949220.77046944,0.421,0
1,100,2500,0.0615848211066026,0.001,0,NA,NA,-2949220.77046944,0.421000000000001,0
1,100,2500,0.0545559478116852,0.001,0,NA,NA,-2946792.26630718,5.789,0
1,100,2500,0.0483293023857175,0.001,0.000261028452101279,0.5,0.000521784503000261,-2943610.95202179,11.226,2
1,100,2500,0.0428133239871939,0.001,0.0013051422605064,0.333333333333333,0.00260010400416017,-2933984.16723636,11.986,15
1,100,2500,0.0379269019073225,0.001,0.00600365439832942,0.365079365079365,0.0118130457113508,-2903859.95651824,18.014,63
1,100,2500,0.0335981828628378,0.001,0.0146175933176716,0.335329341317365,0.0280140070035017,-2827855.04798619,22.956,167
1,100,2500,0.0297635144163132,0.001,0.0258418167580266,0.337883959044369,0.048011639185257,-2717612.38552801,24.78,293
1,100,2500,0.0263665089873036,0.001,0.0386322109109893,0.323851203501094,0.0690298507462687,-2568810.52005041,25.697,457
1,100,2500,0.0233572146909012,0.001,0.0529887757765596,0.305722891566265,0.0903225806451613,-2375027.92367144,27.405,664
1,100,2500,0.0206913808111479,0.001,0.065518141477421,0.277348066298343,0.105996621621622,-2173172.4988982,25.897,905
1,100,2500,0.0183298071083244,0.001,0.0783085356303837,0.246103363412633,0.118811881188119,-1934900.23590877,25.146,1219
1,100,2500,0.0162377673918872,0.001,0.0955364134690681,0.231206569804169,0.135205024011821,-1662699.62723631,24.99,1583
1,100,2500,0.0143844988828766,0.001,0.11224223440355,0.219275879653238,0.148480662983425,-1365519.03330261,24.12,1961
1,100,2500,0.0127427498570313,0.001,0.131819368311146,0.206122448979592,0.160802419996816,-1032407.0535788,23.332,2450
1,100,2500,0.0112883789168469,0.001,0.153745758287653,0.200886766712142,0.174183054857312,-693964.843918434,22.466,2932
1,100,2500,0.01,0.001,0.171234664578439,0.195296219112831,0.182475660639777,-358679.863773574,21.991,3359
1,100,2500,0.1,0.001,0,NA,NA,-2949220.77046944,0.564,0
1,100,2500,0.0943787827777538,0.001,0,NA,NA,-2949220.77046944,0.409,0
1,100,2500,0.0890735463861044,0.001,0,NA,NA,-2949220.77046944,0.457999999999999,0
1,100,2500,0.0840665288561833,0.001,0,NA,NA,-2949220.77046944,0.411,0
1,100,2500,0.0793409666579749,0.001,0,NA,NA,-2949220.77046944,0.404,0
1,100,2500,0.0748810385759002,0.001,0,NA,NA,-2949220.77046944,0.409000000000001,0
1,100,2500,0.0706718127392749,0.001,0,NA,NA,-2949220.77046944,0.433999999999999,0
1,100,2500,0.0666991966303012,0.001,0,NA,NA,-2949220.77046944,0.408000000000001,0
1,100,2500,0.0629498899022189,0.001,0,NA,NA,-2949220.77046944,0.457000000000001,0
1,100,2500,0.0594113398496503,0.001,0,NA,NA,-2948813.058684,1.625,0
1,100,2500,0.0560716993820546,0.001,0,NA,NA,-2948007.34498642,2.984,0
1,100,2500,0.0529197873595844,0.001,0.000261028452101279,1,0.000521920668058455,-2945176.4048231,8.177,1
1,100,2500,0.0499450511585514,0.001,0.000261028452101279,0.5,0.000521784503000261,-2944400.57547012,9.539,2
1,100,2500,0.0471375313411672,0.001,0.000261028452101279,0.5,0.000521784503000261,-2943631.8915895,10.837,2
1,100,2500,0.0444878283112759,0.001,0.000522056904202558,0.25,0.00104193800468872,-2940030.86390505,13.022,8
1,100,2500,0.0419870708444391,0.001,0.00156617071260767,0.333333333333333,0.00311769290724864,-2931994.90943311,14.137,18
1,100,2500,0.0396268863870148,0.001,0.00339336987731663,0.325,0.00671661069491088,-2919139.39946423,13.165,40
1,100,2500,0.037399373024788,0.001,0.0062646828504307,0.324324324324324,0.012291933418694,-2899050.72098168,16.627,74
1,100,2500,0.0352970730273065,0.001,0.00965805272774732,0.321739130434783,0.0187531677648251,-2866463.75708803,21.166,115
1,100,2500,0.0333129478793467,0.001,0.0154006786739755,0.333333333333333,0.0294411177644711,-2819808.65112606,22.265,177
1,100,2500,0.031440354715915,0.001,0.020621247716001,0.344978165938865,0.0389162561576355,-2768855.92175596,23.628,229
1,100,2500,0.0296730240818887,0.001,0.0263638736622292,0.338926174496644,0.0489222572051344,-2713591.22717046,23.63,298
1,100,2500,0.0280050389418363,0.001,0.0328895849647612,0.336,0.0599144079885877,-2644594.38471067,24.601,375
1,100,2500,0.0264308148697411,0.001,0.0386322109109893,0.325991189427313,0.0690781796966161,-2570388.68131419,25.414,454
1,100,2500,0.0249450813523032,0.001,0.0443748368572174,0.311926605504587,0.0776965265082267,-2480341.88391523,25.777,545
1,100,2500,0.0235428641432242,0.001,0.0527277473244584,0.309815950920245,0.0901182244033013,-2385851.24644375,26.428,652
