population,p,N,Recall,Precision,F1,AUPRC,runtime_s,total_edges_directed
"1",200,2000,0.995594713656388,0.114160633103216,0.204833836858006,0.1155151034506,0.764,5939
"2",200,2000,1,0.136394101876676,0.240047183721616,0.15437170162572,0.614,5968
"3",200,2000,0.968220338983051,0.078576341127923,0.145356234096692,0.0675865999657463,0.634,5816
"4",200,2000,0.998624484181568,0.122242801818488,0.217821782178218,0.119642795173107,0.705,5939
"5",200,2000,1,0.114492266308003,0.205460853824106,0.107613250205484,0.646000000000001,5948
"6",200,2000,0.998677248677249,0.126741648480779,0.224936690004469,0.130276214444225,0.715,5957
"7",200,2000,0.996458087367178,0.141920295947537,0.248454518692964,0.160323935312353,0.677,5947
"8",200,2000,1,0.136036186965991,0.239492700191712,0.135357317556007,0.744999999999999,5969
"9",200,2000,0.990066225165563,0.100758213984836,0.182902584493042,0.0966274558397905,0.606,5935
"10",200,2000,1,0.145466733702028,0.253986832479883,0.152195842073982,0.757,5967
"global",200,2000,0.99600660974938,0.121798433947967,0.217054030939127,0.125066052954811,6.863,59385
