rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min)
1996,5,250,5000.0,0.0005,0.0001,1,6275468.575723781,0.21498612395929695,0.9485714285714286,0.3505279034690799,0.28452898321362835
1996,5,250,5000.0,0.005,0.0001,1,6221575.000186066,0.8175675675675675,0.2963265306122449,0.4349910125823847,0.28267908019867416
1996,5,250,5000.0,0.001,0.0001,1,6188473.117613684,0.5308464849354376,0.9061224489795918,0.6694813027744271,0.3060137752521162
1996,5,250,5000.0,0.0001,0.0001,1,7371180.080791028,0.027563344692491366,0.9706122448979592,0.05360443622920518,0.47820943465145926
1996,5,250,5000.0,0.0005,0.001,1,6157318.2287999075,0.817524115755627,0.830204081632653,0.8238153098420412,0.27088775515245894
1996,5,250,5000.0,0.005,0.001,1,6219261.569303793,0.9574468085106383,0.1836734693877551,0.3082191780821918,0.28186817561509087
1996,5,250,5000.0,0.001,0.001,1,6159502.94044514,0.8395285584768812,0.7559183673469387,0.7955326460481099,0.29867939515194547
1996,5,250,5000.0,0.0001,0.001,1,6161942.989328543,0.7080867850098619,0.8791836734693877,0.7844136926438455,0.40348937165302534
1996,5,250,5000.0,0.0005,0.0002,1,6200652.610089652,0.40521242413423775,0.926530612244898,0.5638350720317934,0.2591554197948426
1996,5,250,5000.0,0.0001,0.0002,1,6692358.558402823,0.057832039938707926,0.9551020408163265,0.10906040268456377,0.32274408315618835
1996,5,250,5000.0,0.001,0.0002,1,6175739.388419738,0.633912522468544,0.8636734693877551,0.7311679336558395,0.2612019763017694
1996,5,250,5000.0,0.005,0.0002,1,6220201.336221437,0.8608923884514436,0.2677551020408163,0.4084682440846824,0.2736162328161299
1996,5,250,5000.0,0.0005,0.0005,1,6164745.390722401,0.7140026420079261,0.8824489795918368,0.7893391748813435,0.26520414563516775
1996,5,250,5000.0,0.0001,0.0005,1,6230437.871008734,0.27648642035723026,0.9224489795918367,0.42545180722891573,0.28572915943029026
1996,5,250,5000.0,0.001,0.0005,1,6164494.295958096,0.7718484145398299,0.8146938775510204,0.7926926131850676,0.25798349124379455
1996,5,250,5000.0,0.005,0.0005,1,6219208.873917848,0.9149659863945578,0.21959183673469387,0.35418038183015144,0.28327502924948933
