rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
339,Cat_alg,20,250,1250.0,Cat1,0.0001,0.0001,1,0.0188926920954614,0.9002670501232539,0.0370087317806414,215.92666029930115,19234134.20032864,19235142.757648166
339,Cat_alg,20,250,1250.0,Cat2,0.0001,0.0001,1,0.0188127432682319,0.898137668484412,0.0368535379016408, ,19236151.31496769,
339,Direct_alg,20,250,1250.0,Cat1,0.0001,0.0001,1,0.0206228301984558,0.899342645850452,0.0403210580363515,82.85434198379517,18270112.07128129,18269864.39442815
339,Direct_alg,20,250,1250.0,Cat2,0.0001,0.0001,1,0.0204444549126753,0.8930959975306102,0.0399738420020079,83.11729454994202,18269616.717575006,
339,Cat_alg,20,250,1250.0,Cat1,0.0005,0.0001,1,0.0318813159617298,0.7303820870994249,0.0610957891933225,196.41554355621338,12331753.88859306,12331790.046227705
339,Cat_alg,20,250,1250.0,Cat2,0.0005,0.0001,1,0.0317483802990562,0.7285728984463422,0.0608453560411421, ,12331826.203862349,
339,Direct_alg,20,250,1250.0,Cat1,0.0005,0.0001,1,0.0380405201088599,0.7752670501232539,0.0725225311785391,83.47336196899414,11806160.238645911,11812402.80095443
339,Direct_alg,20,250,1250.0,Cat2,0.0005,0.0001,1,0.0375503512645019,0.7682889186130261,0.0716011736954145,83.36310410499573,11818645.363262946,
339,Cat_alg,20,250,1250.0,Cat1,0.001,0.0001,1,0.0800266755585195,0.5423171733771569,0.1394722244234883,200.86872839927673,7970187.582235193,7968875.911367725
339,Cat_alg,20,250,1250.0,Cat2,0.001,0.0001,1,0.07890621441477,0.5347257948348596,0.1375195152284935, ,7967564.240500256,
339,Direct_alg,20,250,1250.0,Cat1,0.001,0.0001,1,0.107896794370602,0.5811421528348397,0.1820024125452352,84.50183892250061,7687053.540679701,7686411.229237923
339,Direct_alg,20,250,1250.0,Cat2,0.001,0.0001,1,0.1070079010649261,0.5769112048564667,0.1805302896147592,84.69191312789917,7685768.917796145,
339,Cat_alg,20,250,1250.0,Cat1,0.0001,0.0001,1,0.0188926920954614,0.9002670501232539,0.0370087317806414,201.89799737930298,19234134.20032864,19235142.757648166
339,Cat_alg,20,250,1250.0,Cat2,0.0001,0.0001,1,0.0188127432682319,0.898137668484412,0.0368535379016408, ,19236151.31496769,
339,Direct_alg,20,250,1250.0,Cat1,0.0001,0.0001,1,0.0206228301984558,0.899342645850452,0.0403210580363515,82.72949647903442,18270112.07128129,18269864.39442815
339,Direct_alg,20,250,1250.0,Cat2,0.0001,0.0001,1,0.0204444549126753,0.8930959975306102,0.0399738420020079,82.73176503181458,18269616.717575006,
339,Cat_alg,20,250,1250.0,Cat1,0.0001,0.001,1,0.0310717693670874,0.725760065735415,0.0595922326003078,187.56357097625732,12425382.970285296,12423216.030731346
339,Cat_alg,20,250,1250.0,Cat2,0.0001,0.001,1,0.0309654878043414,0.724045683712316,0.0593909829009334, ,12421049.091177398,
339,Direct_alg,20,250,1250.0,Cat1,0.0001,0.001,1,0.0594080554239916,0.6570460147904683,0.1089639313545969,81.37258982658386,9150301.745167676,9148997.193909032
339,Direct_alg,20,250,1250.0,Cat2,0.0001,0.001,1,0.0586332540154669,0.6490379668690195,0.1075505315294579,81.1512680053711,9147692.642650388,
339,Cat_alg,20,250,1250.0,Cat1,0.0005,0.0001,1,0.0318813159617298,0.7303820870994249,0.0610957891933225,200.4467809200287,12331753.88859306,12331790.046227705
339,Cat_alg,20,250,1250.0,Cat2,0.0005,0.0001,1,0.0317483802990562,0.7285728984463422,0.0608453560411421, ,12331826.203862349,
339,Direct_alg,20,250,1250.0,Cat1,0.0005,0.0001,1,0.0380405201088599,0.7752670501232539,0.0725225311785391,83.32501983642578,11806160.238645911,11812402.80095443
339,Direct_alg,20,250,1250.0,Cat2,0.0005,0.0001,1,0.0375503512645019,0.7682889186130261,0.0716011736954145,83.8810613155365,11818645.363262946,
339,Cat_alg,20,250,1250.0,Cat1,0.0005,0.001,1,0.0780012009197287,0.5470419063270336,0.1365343450786367,196.9540319442749,7969198.014908726,7968146.789165403
339,Cat_alg,20,250,1250.0,Cat2,0.0005,0.001,1,0.077470262976489,0.5434715505710465,0.1356097560975609, ,7967095.563422079,
339,Direct_alg,20,250,1250.0,Cat1,0.0005,0.001,1,0.2264694001211876,0.4606614626129827,0.3036560595802302,87.5827968120575,6742747.866869811,6741559.79562323
339,Direct_alg,20,250,1250.0,Cat2,0.0005,0.001,1,0.2225997869858497,0.4515896697191069,0.2982062780269058,86.90947389602661,6740371.724376648,
339,Cat_alg,20,250,1250.0,Cat1,0.001,0.0001,1,0.0800266755585195,0.5423171733771569,0.1394722244234883,188.23015975952148,7970187.582235193,7968875.911367725
339,Cat_alg,20,250,1250.0,Cat2,0.001,0.0001,1,0.07890621441477,0.5347257948348596,0.1375195152284935, ,7967564.240500256,
339,Direct_alg,20,250,1250.0,Cat1,0.001,0.0001,1,0.107896794370602,0.5811421528348397,0.1820024125452352,84.29416799545288,7687053.540679701,7686411.229237923
339,Direct_alg,20,250,1250.0,Cat2,0.001,0.0001,1,0.1070079010649261,0.5769112048564667,0.1805302896147592,84.19594120979309,7685768.917796145,
339,Cat_alg,20,250,1250.0,Cat1,0.001,0.001,1,0.2374420401854714,0.3786976170912078,0.2918777707409752,183.5269582271576,6598154.819635121,6598048.4552031
339,Cat_alg,20,250,1250.0,Cat2,0.001,0.001,1,0.2332344596337374,0.3721576293857392,0.2867562532207555, ,6597942.090771079,
339,Direct_alg,20,250,1250.0,Cat1,0.001,0.001,1,0.5833676410045286,0.2910846343467543,0.3883787858023846,83.76082372665405,6360717.025184764,6359458.315824145
339,Direct_alg,20,250,1250.0,Cat2,0.001,0.001,1,0.5759798784321946,0.2827451383887231,0.3792960662525879,83.70683717727661,6358199.606463528,
