rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
339,Cat_alg,20,250,250.0,Cat1,0.0001,0.0001,1,0.0157160492620785,0.9911668036154478,0.030941486922813,278.2912018299103,18274371.348415054,18274479.721632093
339,Cat_alg,20,250,250.0,Cat2,0.0001,0.0001,1,0.0156534994006983,0.9889906368968,0.0308192001179927, ,18274588.09484913,
339,Direct_alg,20,250,250.0,Cat1,0.0001,0.0001,1,0.0157541088552475,0.9832580115036976,0.0310113429664051,86.7700788974762,17859765.491249986,17856875.872398797
339,Direct_alg,20,250,250.0,Cat2,0.0001,0.0001,1,0.0157111673739764,0.9819940323078508,0.0309275176810842,86.74449872970581,17853986.25354761,
339,Cat_alg,20,250,250.0,Cat1,0.0005,0.0001,1,0.0159137585899113,0.9430977814297452,0.0312993739784326,245.61419653892517,16885825.070587654,16885917.383752845
339,Cat_alg,20,250,250.0,Cat2,0.0005,0.0001,1,0.015914664263494,0.9448502932400452,0.0313020891920359, ,16886009.696918037,
339,Direct_alg,20,250,250.0,Cat1,0.0005,0.0001,1,0.0160706785123062,0.935291700903862,0.0315984162621148,85.25113320350647,16661497.068496251,16661051.668677345
339,Direct_alg,20,250,250.0,Cat2,0.0005,0.0001,1,0.0160939339335099,0.9382652536269164,0.0316450644595978,85.18384623527527,16660606.26885844,
339,Cat_alg,20,250,250.0,Cat1,0.001,0.0001,1,0.0164239530622843,0.8737674609695973,0.0322418651541882,222.58951354026794,15232473.423320144,15227468.951991148
339,Cat_alg,20,250,250.0,Cat2,0.001,0.0001,1,0.0163753265019087,0.8721061837637617,0.0321470358999254, ,15222464.480662154,
339,Direct_alg,20,250,250.0,Cat1,0.001,0.0001,1,0.0168612736165723,0.8667830731306492,0.0330790699132943,82.6137342453003,14867419.631409772,14871467.486564629
339,Direct_alg,20,250,250.0,Cat2,0.001,0.0001,1,0.0168429502219435,0.867887642761601,0.0330446092430884,82.60875964164734,14875515.341719482,
339,Cat_alg,20,250,250.0,Cat1,0.0001,0.0001,1,0.0157160492620785,0.9911668036154478,0.030941486922813,286.8309633731842,18274371.348415054,18274479.721632093
339,Cat_alg,20,250,250.0,Cat2,0.0001,0.0001,1,0.0156534994006983,0.9889906368968,0.0308192001179927, ,18274588.09484913,
339,Direct_alg,20,250,250.0,Cat1,0.0001,0.0001,1,0.0157541088552475,0.9832580115036976,0.0310113429664051,89.5871102809906,17859765.491249986,17856875.872398797
339,Direct_alg,20,250,250.0,Cat2,0.0001,0.0001,1,0.0157111673739764,0.9819940323078508,0.0309275176810842,90.19844651222229,17853986.25354761,
339,Cat_alg,20,250,250.0,Cat1,0.0001,0.001,1,0.0158358171988829,0.952239112571898,0.0311535482483479,262.90290331840515,17487522.639335293,17486755.825698063
339,Cat_alg,20,250,250.0,Cat2,0.0001,0.001,1,0.0157479911446375,0.9485543780224304,0.0309816224100066, ,17485989.01206083,
339,Direct_alg,20,250,250.0,Cat1,0.0001,0.001,1,0.015931679177092,0.9417625308134756,0.0313332968820482,88.30405688285828,16972842.06422508,16973786.0983727
339,Direct_alg,20,250,250.0,Cat2,0.0001,0.001,1,0.0159395565068136,0.9440271632884042,0.031349783285013,88.42247033119202,16974730.13252032,
339,Cat_alg,20,250,250.0,Cat1,0.0005,0.0001,1,0.0159137585899113,0.9430977814297452,0.0312993739784326,256.475546836853,16885825.070587654,16885917.383752845
339,Cat_alg,20,250,250.0,Cat2,0.0005,0.0001,1,0.015914664263494,0.9448502932400452,0.0313020891920359, ,16886009.696918037,
339,Direct_alg,20,250,250.0,Cat1,0.0005,0.0001,1,0.0160706785123062,0.935291700903862,0.0315984162621148,87.42545199394226,16661497.068496251,16661051.668677345
339,Direct_alg,20,250,250.0,Cat2,0.0005,0.0001,1,0.0160939339335099,0.9382652536269164,0.0316450644595978,87.12151002883911,16660606.26885844,
339,Cat_alg,20,250,250.0,Cat1,0.0005,0.001,1,0.0165779033072979,0.8223089564502876,0.0325005886316951,221.28141856193542,14298602.376725383,14287486.697770843
339,Cat_alg,20,250,250.0,Cat2,0.0005,0.001,1,0.016619447221381,0.8244675378125321,0.0325821109450763, ,14276371.018816303,
339,Direct_alg,20,250,250.0,Cat1,0.0005,0.001,1,0.0172927913694039,0.7981717337715695,0.0338521587231058,83.22115969657898,13426944.694828764,13418676.469474554
339,Direct_alg,20,250,250.0,Cat2,0.0005,0.001,1,0.0172416482284863,0.7961724457248688,0.0337523663296373,83.40136194229126,13410408.244120345,
339,Cat_alg,20,250,250.0,Cat1,0.001,0.0001,1,0.0164239530622843,0.8737674609695973,0.0322418651541882,233.9337284564972,15232473.423320144,15227468.951991148
