rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1340,5.000000e-01,2000,1.000000e-04,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,900.561,530.871,35.747 
1340,5.000000e-01,2000,5.000000e-04,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,900.558,530.785,32.939 
1340,5.000000e-01,2000,1.000000e-03,1.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,900.555,530.676,36.533 
1340,5.000000e-01,2000,5.000000e-03,1.000000e-04,1.000000e+00,-Inf,0.994,0.001,0.002,900.529,529.811,37.187 
1340,5.000000e-01,2000,1.000000e-04,2.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,552.131,318.490,37.668 
1340,5.000000e-01,2000,5.000000e-04,2.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,552.123,318.404,37.650 
1340,5.000000e-01,2000,1.000000e-03,2.000000e-04,1.000000e+00,-Inf,0.998,0.001,0.002,552.113,318.297,39.186 
1340,5.000000e-01,2000,5.000000e-03,2.000000e-04,1.000000e+00,-Inf,0.990,0.001,0.002,552.035,317.441,40.424 
1340,5.000000e-01,2000,1.000000e-04,5.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,285.886,127.458,38.946 
1340,5.000000e-01,2000,5.000000e-04,5.000000e-04,1.000000e+00,-Inf,0.998,0.001,0.002,285.884,127.374,37.887 
1340,5.000000e-01,2000,1.000000e-03,5.000000e-04,1.000000e+00,-Inf,0.995,0.001,0.002,285.882,127.270,37.058 
1340,5.000000e-01,2000,5.000000e-03,5.000000e-04,1.000000e+00,-Inf,0.973,0.001,0.002,285.865,126.446,34.657 
1340,5.000000e-01,2000,1.000000e-04,1.000000e-03,1.000000e+00,-Inf,0.999,0.001,0.002,149.493,64.954,30.718 
1340,5.000000e-01,2000,1.000000e-04,1.000000e-02,1.000000e+00,728695112.283,0.895,0.002,0.004,93.377,0.916,31.239 
1340,5.000000e-01,2000,5.000000e-04,1.000000e-02,1.000000e+00,40854239.697,0.505,0.649,0.568,93.377,0.916,24.116 
1340,5.000000e-01,2000,1.000000e-03,1.000000e-02,1.000000e+00,40382505.975,0.357,0.858,0.504,93.377,0.917,23.285 
1340,5.000000e-01,2000,5.000000e-03,1.000000e-02,1.000000e+00,40047993.792,0.018,0.969,0.035,93.377,0.917,22.882 
