rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1340,25,2000,1.000000e-04,1.000000e-04,1.000000e+00,2161074905.196,0.702,0.006,0.013,93.224,0.911,23.103 
1340,25,2000,5.000000e-04,1.000000e-04,1.000000e+00,1998574797.544,0.161,0.943,0.274,93.224,0.913,20.055 
1340,25,2000,1.000000e-03,1.000000e-04,1.000000e+00,2006415438.274,0.013,0.979,0.026,93.224,0.913,19.418 
1340,25,2000,5.000000e-03,1.000000e-04,1.000000e+00,2006873364.807,0.000,NaN,NaN,93.224,0.913,20.101 
1340,25,2000,1.000000e-04,2.000000e-04,1.000000e+00,2147051257.799,0.703,0.007,0.014,93.230,0.912,19.634 
1340,25,2000,5.000000e-04,2.000000e-04,1.000000e+00,1998017432.256,0.160,0.943,0.273,93.230,0.913,20.355 
1340,25,2000,1.000000e-03,2.000000e-04,1.000000e+00,2005718067.955,0.013,0.982,0.026,93.230,0.913,19.691 
1340,25,2000,5.000000e-03,2.000000e-04,1.000000e+00,2006148161.751,0.000,NaN,NaN,93.230,0.913,20.632 
1340,25,2000,1.000000e-04,5.000000e-04,1.000000e+00,2089781413.163,0.702,0.011,0.021,93.245,0.912,19.956 
1340,25,2000,5.000000e-04,5.000000e-04,1.000000e+00,1996884140.146,0.156,0.945,0.267,93.245,0.914,20.074 
1340,25,2000,1.000000e-03,5.000000e-04,1.000000e+00,2004253835.528,0.011,0.978,0.023,93.245,0.914,20.001 
1340,25,2000,5.000000e-03,5.000000e-04,1.000000e+00,2004623192.680,0.000,NaN,NaN,93.245,0.914,20.740 
1340,25,2000,1.000000e-04,1.000000e-03,1.000000e+00,2009042910.509,0.694,0.039,0.074,93.263,0.913,20.023 
1340,25,2000,5.000000e-04,1.000000e-03,1.000000e+00,1996043204.319,0.150,0.943,0.259,93.263,0.915,20.274 
1340,25,2000,1.000000e-03,1.000000e-03,1.000000e+00,2003026956.291,0.012,0.974,0.023,93.263,0.915,20.111 
1340,25,2000,5.000000e-03,1.000000e-03,1.000000e+00,2003324789.957,0.000,NaN,NaN,93.263,0.915,20.697 
1340,25,2000,1.000000e-04,1.000000e-02,1.000000e+00,1984345286.449,0.540,0.515,0.527,93.383,0.917,27.157 
1340,25,2000,5.000000e-04,1.000000e-02,1.000000e+00,1997080730.818,0.097,0.943,0.177,93.383,0.918,25.454 
1340,25,2000,1.000000e-03,1.000000e-02,1.000000e+00,2001149074.366,0.002,0.975,0.004,93.383,0.918,25.488 
1340,25,2000,5.000000e-03,1.000000e-02,1.000000e+00,2001211793.749,0.000,NaN,NaN,93.383,0.918,25.142 
