rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1340,30,2000,1.000000e-04,1.000000e-04,1.000000e+00,2398192820.004,0.679,0.055,0.102,93.230,0.912,22.234 
1340,30,2000,5.000000e-04,1.000000e-04,1.000000e+00,2398997278.155,0.137,0.950,0.239,93.230,0.913,21.075 
1340,30,2000,1.000000e-03,1.000000e-04,1.000000e+00,2406947313.426,0.006,0.975,0.012,93.230,0.914,24.075 
1340,30,2000,5.000000e-03,1.000000e-04,1.000000e+00,2407157944.493,0.000,NaN,NaN,93.230,0.914,22.888 
1340,30,2000,1.000000e-04,2.000000e-04,1.000000e+00,2390899800.243,0.678,0.083,0.148,93.235,0.912,22.613 
1340,30,2000,5.000000e-04,2.000000e-04,1.000000e+00,2398449793.755,0.133,0.950,0.233,93.235,0.913,22.069 
1340,30,2000,1.000000e-03,2.000000e-04,1.000000e+00,2406252437.212,0.006,0.972,0.011,93.235,0.914,21.769 
1340,30,2000,5.000000e-03,2.000000e-04,1.000000e+00,2406449822.023,0.000,NaN,NaN,93.235,0.914,22.259 
1340,30,2000,1.000000e-04,5.000000e-04,1.000000e+00,2380215720.832,0.672,0.309,0.423,93.249,0.913,22.367 
1340,30,2000,5.000000e-04,5.000000e-04,1.000000e+00,2397361639.740,0.129,0.948,0.227,93.249,0.914,21.558 
1340,30,2000,1.000000e-03,5.000000e-04,1.000000e+00,2404808775.611,0.005,0.971,0.010,93.249,0.915,21.938 
1340,30,2000,5.000000e-03,5.000000e-04,1.000000e+00,2404976043.222,0.000,NaN,NaN,93.249,0.915,24.217 
1340,30,2000,1.000000e-04,1.000000e-03,1.000000e+00,2377817490.728,0.668,0.645,0.656,93.264,0.914,23.981 
1340,30,2000,5.000000e-04,1.000000e-03,1.000000e+00,2396577537.680,0.125,0.947,0.221,93.264,0.915,21.966 
1340,30,2000,1.000000e-03,1.000000e-03,1.000000e+00,2403612779.586,0.005,0.974,0.009,93.264,0.915,21.655 
1340,30,2000,5.000000e-03,1.000000e-03,1.000000e+00,2403744700.138,0.000,NaN,NaN,93.264,0.915,22.471 
1340,30,2000,1.000000e-04,1.000000e-02,1.000000e+00,2380914422.847,0.514,0.656,0.576,93.382,0.917,23.335 
1340,30,2000,5.000000e-04,1.000000e-02,1.000000e+00,2397577636.609,0.079,0.953,0.145,93.382,0.918,19.742 
1340,30,2000,1.000000e-03,1.000000e-02,1.000000e+00,2401486678.941,0.002,0.975,0.003,93.382,0.918,21.320 
1340,30,2000,5.000000e-03,1.000000e-02,1.000000e+00,2401505547.161,0.000,NaN,NaN,93.382,0.918,21.036 
