perturb_strength,rd_seed,t,p,n_by_p,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
0.05,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8951160785543129,0.6812991094814038,0.7737001754129025,35.446525955200194,43038.71308627806,43710.66255177431
0.1,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.896480741095447,0.6801104621635348,0.7734402489824004,36.21605019569397,48345.37447746538,47904.84522194706
0.2,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9004071254323854,0.6783604914496926,0.7737667593086358,36.28337597846985,54998.05169138436,55937.34062407368
0.5,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9047426535694996,0.6622944708087051,0.7647592676436621,35.81245617866516,75915.56216727935,78113.72861807942
1.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9149196802491952,0.6549881310266288,0.7634238715241581,36.01399350166321,107666.39659501519,106581.91605620921
2.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9308755914657049,0.6144493511959656,0.7402594995388897,36.60601353645325,140874.20338948484,141557.8968081943
